url,paragraph,cities,total_key_terms,climate,mental_health,population,methodology,sentiment_score
https://pubmed.ncbi.nlm.nih.gov/33806787/,"International data suggest that exposure to nature is beneficial for mental health and well-being. The restrictions related to the COVID-19 pandemic have created a setting that allows us to investigate the importance of greenness exposure on mental health during a period of increased isolation and worry. Based on 2060 responses from an online survey in Stockholm County, Sweden, we investigated: (1) whether the COVID-19 pandemic changed peoples' lifestyle and nature-related habits, and (2) if peoples' mental health differed depending on their exposure to greenness. Neighborhood greenness levels were quantified by using the average normalized difference vegetation index (NDVI) within 50 m, 100 m, 300 m, and 500 m buffers surrounding the participant's place of residence. We found that the number of individuals that reported that they visited natural areas ""often"" was significantly higher during the pandemic than before the pandemic. Higher levels of greenness surrounding one's location of residence were in general associated with higher mental health/well-being and vitality scores, and less symptoms of depression, anxiety, and perceived and cognitive stress, after adjustments for demographic variables and walkability. In conclusion, the results from the present study provided support to the suggestion that contact with nature may be important for mental health in extreme circumstances.",['Stockholm'],14,2,11,1,0,-0.021759259259259242
https://pubmed.ncbi.nlm.nih.gov/33806787/,"Keywords:
        
      
      COVID-19; greenness; mental health; psychological factors; resilience; social isolation; societal change.",,3,0,2,1,0,-0.022222222222222227
https://pubmed.ncbi.nlm.nih.gov/33806787/,Mental health estimates associated with…,,1,0,1,0,0,-0.1
https://pubmed.ncbi.nlm.nih.gov/33806787/,Mental health estimates associated with NDVI within different buffer sizes (models adjusted as…,,2,1,1,0,0,-0.05
https://pubmed.ncbi.nlm.nih.gov/33806787/,Mental health estimates associated with…,,1,0,1,0,0,-0.1
https://pubmed.ncbi.nlm.nih.gov/33806787/,Mental health estimates associated with NDVI within different buffer sizes (models adjusted as…,,2,1,1,0,0,-0.05
https://www.isglobal.org/en/-/el-rendimiento-cognitivo-y-el-estres-empeoran-durante-los-dias-de-mayor-contaminacion-en-barcelona,"Cognitive performance and stress worsen on high-pollution days in Barcelona. These are the preliminary results of  CitieS-Health, a European citizen-science study coordinated by Ideas for Change and the Barcelona Institute for Global Health (ISGlobal)—a centre supported by the ”la Caixa” Foundation—with the goal of measuring how pollution affects the mental health of people in the city. The study took place over several months, with the voluntary participation of nearly 300 residents, who enabled the researchers to collect information on habits and mobility  over the course of 160 days.",['Barcelona'],5,2,3,0,0,0.0
https://www.isglobal.org/en/-/el-rendimiento-cognitivo-y-el-estres-empeoran-durante-los-dias-de-mayor-contaminacion-en-barcelona,"Research has shown that people have greater difficulty concentrating on the days when air pollution is highest. Specifically, reaction time and cognitive performance can drop by about 5% on a high-pollution day compared to a day with clean air. On days with higher levels of pollution, stress levels also increase by roughly 0.5 (on a scale of 0-10) compared to a clear day. The study also found that, on high-pollution days, the cognitive health of people living close to a green or blue space (such as the sea) is less affected than that of people living farther away, whereas the relationship between air pollution and cognitive well-being does not seem to vary with noise exposure. The findings of the study are currently being written up in a scientific article for validation via the peer-review process.",,10,5,5,0,0,0.07500000000000001
https://www.isglobal.org/en/-/el-rendimiento-cognitivo-y-el-estres-empeoran-durante-los-dias-de-mayor-contaminacion-en-barcelona,"The analysis conducted by the CitieS-Health team used citizen data provided by study participants. For two non-consecutive weeks, participants took a test of attention span and processing speed and answered a series of questions on stress level, mood and sleep quality via an app. In many cases, participants also provided their GPS mobility data to estimate the correspondence between pollutant concentration and time spent in different parts of the city. In addition, more than 260 volunteers wore apassive sampling device to measure the accumulated NO ₂ concentration they were exposed to over the course of a week.",,3,0,3,0,0,0.225
https://www.isglobal.org/en/-/el-rendimiento-cognitivo-y-el-estres-empeoran-durante-los-dias-de-mayor-contaminacion-en-barcelona,"To compare the sample and establish correlations, the results were cross-checked against public data such as the average pollutant concentrations collected by the stations in Barcelona’s Air Pollution Monitoring and Forecasting Network, as well as the city’s strategic municipal noise map and land-use maps.",['Barcelona'],3,1,0,1,1,-0.049999999999999996
